step,time,dt,cfl,max_speed,kinetic_energy,enstrophy,circulation,poisson_iters,poisson_residual,frame
67,0.052344,7.813e-4,0.4000,0.663030,6.21544608e-4,4.92646110e1,-8.20953941e-1,3,2.313e-12,-1
68,0.053125,7.813e-4,0.4000,0.665381,6.28914210e-4,4.90535818e1,-8.22286421e-1,3,2.309e-12,-1
69,0.053906,7.813e-4,0.4000,0.667682,6.36234255e-4,4.88454128e1,-8.23587497e-1,3,2.219e-12,-1
70,0.054687,7.813e-4,0.4000,0.669936,6.43505674e-4,4.86400673e1,-8.24858389e-1,3,2.423e-12,-1
71,0.055469,7.813e-4,0.4000,0.672145,6.50729372e-4,4.84375068e1,-8.26100247e-1,3,2.187e-12,-1
72,0.056250,7.813e-4,0.4000,0.674310,6.57906226e-4,4.82376917e1,-8.27314161e-1,3,2.583e-12,-1
73,0.057031,7.813e-4,0.4000,0.676432,6.65037088e-4,4.80405814e1,-8.28501165e-1,3,2.359e-12,-1
74,0.057812,7.813e-4,0.4000,0.678513,6.72122786e-4,4.78461345e1,-8.29662239e-1,3,3.027e-12,-1
75,0.058594,7.813e-4,0.4000,0.680554,6.79164124e-4,4.76543093e1,-8.30798314e-1,3,2.338e-12,-1
76,0.059375,7.813e-4,0.4000,0.682557,6.86161883e-4,4.74650636e1,-8.31910271e-1,3,3.013e-12,-1
77,0.060156,7.813e-4,0.4000,0.684522,6.93116822e-4,4.72783550e1,-8.32998953e-1,3,2.650e-12,-1
78,0.060937,7.813e-4,0.4000,0.686450,7.00029681e-4,4.70941413e1,-8.34065157e-1,3,2.522e-12,-1
79,0.061719,7.813e-4,0.4000,0.688344,7.06901176e-4,4.69123802e1,-8.35109646e-1,3,2.521e-12,-1
80,0.062500,7.813e-4,0.4000,0.690203,7.13732007e-4,4.67330298e1,-8.36133144e-1,3,2.434e-12,-1
81,0.063281,7.813e-4,0.4000,0.692029,7.20522854e-4,4.65560483e1,-8.37136344e-1,3,2.863e-12,-1
82,0.064062,7.813e-4,0.4000,0.693822,7.27274377e-4,4.63813943e1,-8.38119903e-1,3,2.643e-12,-1
83,0.064844,7.813e-4,0.4000,0.695585,7.33987222e-4,4.62090270e1,-8.39084454e-1,3,2.377e-12,-1
84,0.065625,7.813e-4,0.4000,0.697317,7.40662014e-4,4.60389058e1,-8.40030596e-1,3,2.615e-12,-1
85,0.066406,7.813e-4,0.4000,0.699020,7.47299365e-4,4.58709909e1,-8.40958907e-1,3,2.487e-12,-1
86,0.067187,7.813e-4,0.4000,0.700694,7.53899870e-4,4.57052428e1,-8.41869935e-1,3,2.837e-12,-1
87,0.067969,7.813e-4,0.4000,0.702340,7.60464109e-4,4.55416228e1,-8.42764207e-1,3,2.849e-12,-1
88,0.068750,7.813e-4,0.4000,0.703959,7.66992646e-4,4.53800927e1,-8.43642228e-1,3,2.920e-12,-1
89,0.069531,7.813e-4,0.4000,0.705551,7.73486033e-4,4.52206150e1,-8.44504481e-1,3,3.398e-12,-1
90,0.070312,7.813e-4,0.4000,0.707118,7.79944807e-4,4.50631527e1,-8.45351428e-1,3,3.507e-12,-1
91,0.071094,7.813e-4,0.4000,0.708660,7.86369492e-4,4.49076695e1,-8.46183515e-1,3,3.375e-12,-1
92,0.071875,7.813e-4,0.4000,0.710177,7.92760599e-4,4.47541299e1,-8.47001168e-1,3,3.496e-12,-1
93,0.072656,7.813e-4,0.4000,0.711671,7.99118627e-4,4.46024990e1,-8.47804796e-1,3,3.174e-12,-1
94,0.073437,7.813e-4,0.4000,0.713142,8.05444063e-4,4.44527425e1,-8.48594792e-1,3,3.297e-12,-1
95,0.074219,7.813e-4,0.4000,0.714590,8.11737381e-4,4.43048267e1,-8.49371533e-1,3,3.784e-12,-1
96,0.075000,7.813e-4,0.4000,0.716016,8.17999047e-4,4.41587187e1,-8.50135385e-1,3,3.268e-12,-1
97,0.075781,7.813e-4,0.4000,0.717420,8.24229512e-4,4.40143863e1,-8.50886695e-1,3,3.332e-12,-1
98,0.076562,7.813e-4,0.4000,0.718804,8.30429220e-4,4.38717978e1,-8.51625800e-1,3,3.212e-12,-1
